influencer_id,platform,date,url,caption,reach,likes,comments
144,Instagram,2024-01-01,http://adams.org/,Detail week business by right model hope.,92176,12485,593
185,YouTube,2024-01-02,http://sharp-wilson.com/,Answer call gas low rise.,76945,1191,704
12,YouTube,2024-01-03,https://www.bauer.com/,Despite collection figure green.,5017,19331,511
74,YouTube,2024-01-04,https://oliver-ware.com/,Apply yeah history.,11451,9331,996
16,YouTube,2024-01-05,https://www.morris.com/,Write recently hotel.,63956,2088,531
200,Twitter,2024-01-06,https://white-summers.com/,Education staff kitchen fight enter.,94863,4320,808
102,Instagram,2024-01-07,https://www.stevenson.com/,All water foot practice much.,11278,10096,835
152,Instagram,2024-01-08,https://www.mosley.info/,Significant board more relate beautiful.,91480,4733,329
156,Instagram,2024-01-09,http://johnson.com/,Food teacher best.,44764,16928,218
117,YouTube,2024-01-10,http://www.edwards.com/,Board author career appear staff act.,2134,7166,212
8,YouTube,2024-01-11,http://keith-chavez.biz/,Close one home everyone early behind finally.,63943,1834,173
122,Instagram,2024-01-12,https://www.weaver.com/,Performance picture state focus once hope kitchen.,96667,19944,334
92,YouTube,2024-01-13,http://www.miranda.com/,Charge exactly push international either herself ask.,55318,3836,284
164,Instagram,2024-01-14,http://www.york.com/,Science whether who meet current hair.,61128,9240,982
90,Instagram,2024-01-15,http://newton.com/,Past nor such product.,89056,5478,309
136,Instagram,2024-01-16,https://flores.com/,Night be computer model add seem.,22869,6731,150
186,Instagram,2024-01-17,http://www.brown-gonzalez.com/,Of film low away treat around read.,6039,6943,779
60,Instagram,2024-01-18,http://www.banks-pierce.com/,Painting source individual future yes place tax.,22281,12711,520
178,Instagram,2024-01-19,http://james-hicks.com/,Life character democratic task.,11442,14942,94
28,Instagram,2024-01-20,https://www.lewis.com/,Cause base factor stock.,74788,9693,457
101,YouTube,2024-01-21,http://www.wright-marks.biz/,Someone career buy himself.,28586,9993,64
41,Instagram,2024-01-22,https://www.hicks-wood.com/,Heart base nature act whatever nearly although.,54053,10522,315
192,Instagram,2024-01-23,http://hendricks.com/,Account I me good trouble language.,51489,13042,532
155,YouTube,2024-01-24,https://wallace-delgado.info/,Item manager drug fact.,84104,11176,231
191,YouTube,2024-01-25,https://french.net/,Cold brother half movement direction sort with.,87346,6919,478
145,YouTube,2024-01-26,https://duran-peterson.net/,Very close million ready eight read seem.,68087,7719,982
161,Instagram,2024-01-27,http://paul.biz/,Outside eat follow yourself whole.,13625,11588,545
157,Twitter,2024-01-28,https://www.perez-black.info/,Remember list apply campaign rest.,35397,10115,667
141,Twitter,2024-01-29,http://www.matthews-woods.biz/,Whole necessary follow nothing live father continue.,59671,10221,761
46,YouTube,2024-01-30,https://www.dodson.info/,Face own year cut.,92785,17746,786
35,Twitter,2024-01-31,https://montgomery-young.com/,Company analysis dog business young.,67897,3012,83
134,YouTube,2024-02-01,http://hill-garner.info/,Language theory energy fill amount main.,27149,13901,437
