source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,Gritzo Kids Push,163,2532391a-1c57-4dac-a3a0-94900c362710,Omega-3,2024-01-01 00:00:00,4,370.11
Twitter,FitZone Summer Blast,60,1e262b9e-d489-4d4f-a3a8-bd83bf2539a5,Kids Drink,2024-01-01 01:00:00,6,1891.74
YouTube,HKVitals Glow Drive,198,0321e499-e062-4625-8c31-00a97fc34615,Whey Protein,2024-01-01 02:00:00,6,2905.13
Twitter,HK Protein Launch,188,682822e7-6d61-479e-af7c-04b0006e2eeb,Creatine,2024-01-01 03:00:00,1,1607.62
YouTube,MB Pro Campaign,58,f228b3f7-287a-4dc8-894e-defaa79ceb65,Whey Protein,2024-01-01 04:00:00,1,344.24
Instagram,HK Protein Launch,3,6afc97f4-66b9-4be1-8615-7942e8928682,Multivitamin,2024-01-01 05:00:00,3,819.41
Twitter,FitZone Summer Blast,162,7b2715d8-a6c8-46b6-a0eb-9ec93fdf97e3,Kids Drink,2024-01-01 06:00:00,4,885.42
Twitter,Gritzo Kids Push,45,6386d723-2ca7-4ccd-a8d5-b5a970ac7cfc,Whey Protein,2024-01-01 07:00:00,2,1146.0
Twitter,Gritzo Kids Push,50,4e619c57-8976-4575-8f0d-f4bf1ffcf362,Kids Drink,2024-01-01 08:00:00,4,322.09
Twitter,HKVitals Glow Drive,2,f2064345-a18a-4461-8310-3c37716a8a08,Whey Protein,2024-01-01 09:00:00,4,2733.7
YouTube,FitZone Summer Blast,15,062e60a9-4728-4c85-b066-d6f51f61cc4f,Creatine,2024-01-01 10:00:00,1,1643.58
YouTube,HK Protein Launch,165,c3e98604-e7f3-4d97-a99a-fd14c25fd056,Creatine,2024-01-01 11:00:00,1,2078.61
Twitter,FitZone Summer Blast,143,a3c26ba1-3371-42bc-820b-6d14f5ca9152,Kids Drink,2024-01-01 12:00:00,4,388.08
YouTube,FitZone Summer Blast,188,4a3da8b4-8f73-465b-9afe-724e6c890154,Omega-3,2024-01-01 13:00:00,5,351.52
Twitter,Gritzo Kids Push,96,e1da8977-a88b-4371-b578-87f1392179f2,Omega-3,2024-01-01 14:00:00,5,1842.11
Twitter,HK Protein Launch,85,198e4565-0800-4e58-9812-380e34c2de5b,Multivitamin,2024-01-01 15:00:00,6,2684.43
Instagram,MB Pro Campaign,192,f81162e2-3c72-44a2-b883-2cc91adfd93f,Omega-3,2024-01-01 16:00:00,4,1679.75
Twitter,Gritzo Kids Push,111,41a0deec-e61f-4629-ba9c-b8106f104a56,Kids Drink,2024-01-01 17:00:00,5,2657.89
YouTube,HK Protein Launch,180,84c23924-9264-4b2f-bc8f-e40f4ce23866,Omega-3,2024-01-01 18:00:00,6,2470.78
Twitter,HKVitals Glow Drive,23,e20985ac-845d-42e9-bb72-d18b58ba95a8,Multivitamin,2024-01-01 19:00:00,6,412.39
Instagram,Gritzo Kids Push,99,7df37edd-945a-4cef-97d6-3755601228b3,Whey Protein,2024-01-01 20:00:00,4,765.48
YouTube,HKVitals Glow Drive,37,3b2f1e9b-16be-4fa1-a5c6-80d89b28b77e,Omega-3,2024-01-01 21:00:00,6,2041.59
Instagram,Gritzo Kids Push,107,51e30325-7572-4ce7-8b99-6a38f336276f,Kids Drink,2024-01-01 22:00:00,1,1441.8
Instagram,FitZone Summer Blast,41,e63b1f86-a964-491f-9723-92545dbf375c,Kids Drink,2024-01-01 23:00:00,1,1013.96
Twitter,HK Protein Launch,57,4e63eb5e-a151-486e-aaf6-930ebc304dac,Multivitamin,2024-01-02 00:00:00,1,1372.17
Instagram,HKVitals Glow Drive,97,2e663aa3-2dfe-474c-98ef-87dfa97b0967,Multivitamin,2024-01-02 01:00:00,2,1446.56
Instagram,Gritzo Kids Push,25,46dfd57e-0961-4465-8a9b-5dd557dc7dbb,Creatine,2024-01-02 02:00:00,1,2749.55
YouTube,HKVitals Glow Drive,110,2930cc80-1061-43fa-837e-9d4953ddadc2,Creatine,2024-01-02 03:00:00,1,489.68
